60,	2901360,	2740760,	2986760,	2969560,	2852060,	2770060,	2792360,	2871460,	2752960,	35391110,	60886110,	46350110,	43975110,	44236110,	43404110,	44350110,	43576110,	41765110,	40550110,	43892160,	77496160,	75719160,	76164160,	78608160,	75458160,	77857160,	75414160,	77963160,	75286160,	81532210,	129349210,	138283210,	138021210,	139136210,	136178210,	143191210,	136519210,	137787210,	137720210,	134183260,	228721260,	238486260,	240054260,	231139260,	238574260,	238138260,	235036260,	234581260,	233507260,	231036310,	392235310,	376023310,	372150310,	376615310,	374265310,	379776310,	371860310,	374689310,	375020310,	374026360,	544122360,	544459360,	546478360,	551610360,	550812360,	528114360,	525584360,	530986360,	533727360,	518075410,	792313410,	790950410,	795677410,	855765410,	801965410,	808227410,	819219410,	844717410,	817428410,	788404460,	1077355460,	1105119460,	1038879460,	1089498460,	1065070460,	1051783460,	1066478460,	1052948460,	1040949460,	1089321510,	1449731510,	1507400510,	1462444510,	1535588510,	1467649510,	1470726510,	1458357510,	1489035510,	1467370510,	145273860,	28035
60,	28227
60,	28379
60,	29710
60,	27493
60,	28233
60,	27077
60,	27010
60,	25424
60,	26368
110,	43773
110,	43165
110,	42730
110,	48923
110,	42321
110,	44160
110,	44110
110,	43143
110,	41735
110,	40931
160,	80534
160,	77778
160,	78994
160,	74979
160,	75699
160,	77017
160,	76355
160,	78384
160,	76564
160,	75542
210,	128559
210,	128165
210,	136589
210,	128782
210,	128345
210,	129014
210,	130581
210,	130138
210,	129264
210,	131347
260,	238194
260,	238056
260,	238846
260,	240155
260,	237304
260,	237417
260,	235297
260,	240129
260,	244743
260,	241526
310,	368164
310,	367283
310,	374556
310,	376336
310,	375038
310,	373759
310,	382793
310,	397759
310,	401543
310,	393282
360,	525594
360,	528571
360,	533924
360,	546698
360,	547378
360,	535558
360,	539025
360,	525448
360,	525055
360,	546286
410,	822487
410,	803938
410,	841089
410,	804688
410,	807620
410,	796621
410,	799160
410,	788069
410,	797508
410,	802693
460,	1068558
460,	1059043
460,	1066026
460,	1061635
460,	1062476
460,	1070639
460,	1114970
460,	1058835
460,	1059020
460,	1068498
510,	1496698
510,	1489320
510,	1480644
510,	1447011
510,	1480597
510,	1477069
510,	1463228
510,	1472474
510,	1466747
510,	1465243
